"","ts_code","trade_date","close","open","high","low","pre_close","change","pct_chg","vol","amount"
"140","000001.SH",2019-05-08,2893.7567,2873.1433,2929.4306,2866.7041,2926.3908,-32.6341,-1.1152,231530519,218892618.3
"141","000001.SH",2019-05-07,2926.3908,2914.2914,2937.2832,2889.0732,2906.464,19.9268,0.6856,253281769,245444215.2
"142","000001.SH",2019-05-06,2906.464,2984.7273,2986.5399,2876.4688,3078.3389,-171.8749,-5.5834,326972269,314336519.4
"143","000001.SH",2019-04-30,3078.3389,3052.6223,3088.4074,3052.6223,3062.4985,15.8404,0.5172,222302517,225498129.2
"144","000001.SH",2019-04-29,3062.4985,3090.6331,3107.7605,3050.0261,3086.3989,-23.9004,-0.7744,292114886,289063278.9
"145","000001.SH",2019-04-26,3086.3989,3108.1635,3129.2134,3085.8049,3123.8261,-37.4272,-1.1981,280873854,274776402.3
"146","000001.SH",2019-04-25,3123.8261,3190.5851,3193.7494,3123.0258,3201.6137,-77.7876,-2.4296,325879129,309076083.7
"147","000001.SH",2019-04-24,3201.6137,3203.5588,3210.6508,3156.607,3198.5938,3.0199,0.0944,274872164,278410852.5
"148","000001.SH",2019-04-23,3198.5938,3211.8719,3231.5815,3186.7569,3215.0426,-16.4488,-0.5116,328361207,324870183.4
"149","000001.SH",2019-04-22,3215.0426,3278.4906,3279.4894,3206.878,3270.7973,-55.7547,-1.7046,353217387,359154297.1
"150","000001.SH",2019-04-19,3270.7973,3250.1452,3274.3347,3226.8124,3250.2012,20.5961,0.6337,315198004,315131920.2
"151","000001.SH",2019-04-18,3250.2012,3261.0742,3271.3878,3241.8257,3263.1179,-12.9167,-0.3958,325539942,323508178.6
"152","000001.SH",2019-04-17,3263.1179,3250.1518,3275.3335,3239.8048,3253.5978,9.5201,0.2926,357541796,354509888.1
"153","000001.SH",2019-04-16,3253.5978,3164.3969,3253.5978,3153.2062,3177.7866,75.8112,2.3857,357918752,360166633.6
"154","000001.SH",2019-04-15,3177.7866,3233.4583,3253.9763,3177.2698,3188.6256,-10.839,-0.3399,348809785,355666127.7
"155","000001.SH",2019-04-12,3188.6256,3184.8595,3199.278,3168.0421,3189.9619,-1.3363,-0.0419,289788996,288908971.2
"156","000001.SH",2019-04-11,3189.9619,3241.5474,3254.1259,3185.546,3241.9299,-51.968,-1.603,353031879,360684555.9
"157","000001.SH",2019-04-10,3241.9299,3224.6454,3264.7778,3204.8785,3239.6639,2.266,0.0699,380134408,395669974.9
"158","000001.SH",2019-04-09,3239.6639,3240.3938,3251.6458,3215.7048,3244.8103,-5.1464,-0.1586,364169997,380272975.9
"159","000001.SH",2019-04-08,3244.8103,3271.2722,3288.4531,3210.5151,3246.5714,-1.7611,-0.0542,504518403,506431236.8
"160","000001.SH",2019-04-04,3246.5714,3233.6886,3254.1401,3216.8545,3216.2952,30.2762,0.9413,469117669,475156382.1
"161","000001.SH",2019-04-03,3216.2952,3159.1468,3219.2564,3152.3319,3176.8227,39.4725,1.2425,430548635,442622041
"162","000001.SH",2019-04-02,3176.8227,3183.2736,3193.2717,3164.9066,3170.361,6.4617,0.2038,447068981,462662081.8
"163","000001.SH",2019-04-01,3170.361,3111.6619,3176.6221,3111.6619,3090.758,79.603,2.5755,466124693,480085938.4
"164","000001.SH",2019-03-29,3090.758,3000.6783,3093.0329,2999.9866,2994.9434,95.8146,3.1992,375082991,386699608.7
"165","000001.SH",2019-03-28,2994.9434,3009.7988,3025.7789,2991.7789,3022.7196,-27.7762,-0.9189,288106425,289554565.5
"166","000001.SH",2019-03-27,3022.7196,3012.2573,3022.7623,2987.7717,2997.0954,25.6242,0.855,291390357,295075954.8
"167","000001.SH",2019-03-26,2997.0954,3057.559,3062.6896,2988.4905,3043.0313,-45.9359,-1.5095,353498021,341444826.6
"168","000001.SH",2019-03-25,3043.0313,3058.8016,3086.9961,3041.9504,3104.1487,-61.1174,-1.9689,380278762,375375662.8
"169","000001.SH",2019-03-22,3104.1487,3100.7264,3107.2754,3064.884,3101.455,2.6937,0.0869,364848346,356678335
"170","000001.SH",2019-03-21,3101.455,3094.1247,3125.0192,3086.85,3090.6403,10.8147,0.3499,414251182,403939834.7
"171","000001.SH",2019-03-20,3090.6403,3084.1704,3102.5203,3053.4519,3090.975,-0.3347,-0.0108,358557505,349295405.5
"172","000001.SH",2019-03-19,3090.975,3099.8971,3113.4325,3076.3627,3096.4176,-5.4426,-0.1758,350908860,353216791.3
"173","000001.SH",2019-03-18,3096.4176,3027.8012,3096.4176,3009.5071,3021.7512,74.6664,2.471,397797179,398469604.8
"174","000001.SH",2019-03-15,3021.7512,3000.8789,3048.1212,2999.4317,2990.685,31.0662,1.0388,341206139,344721502.7
"175","000001.SH",2019-03-14,2990.685,3013.597,3041.1557,2968.8237,3026.9513,-36.2663,-1.1981,373141798,356240351.2
"176","000001.SH",2019-03-13,3026.9513,3062.3267,3065.2884,3013.9319,3060.3073,-33.356,-1.09,453214625,451247303.7
"177","000001.SH",2019-03-12,3060.3073,3049.0844,3093.3913,3029.8999,3026.9925,33.3148,1.1006,511173158,487066630.2
"178","000001.SH",2019-03-11,3026.9925,2969.0802,3028.2543,2963.5834,2969.8614,57.1311,1.9237,426213029,404368420.3
"179","000001.SH",2019-03-08,2969.8614,3038.3362,3075.0461,2969.5815,3106.4179,-136.5565,-4.3959,577855473,525598246.4
"180","000001.SH",2019-03-07,3106.4179,3103.6677,3129.9395,3074.9784,3102.0991,4.3188,0.1392,583817065,525725224.7
"181","000001.SH",2019-03-06,3102.0991,3060.4327,3103.8251,3050.1113,3054.2466,47.8525,1.5668,555006365,485478321.3
"182","000001.SH",2019-03-05,3054.2466,3019.8797,3054.9617,3009.4476,3027.5755,26.6711,0.8809,424142529,382768537.2
"183","000001.SH",2019-03-04,3027.5755,3015.9427,3090.7959,3006.9417,2994.005,33.5705,1.1213,525649436,480603655.5
"184","000001.SH",2019-03-01,2994.005,2954.4021,2994.005,2930.8345,2940.9538,53.0512,1.8039,345786200,307337666.7
"185","000001.SH",2019-02-28,2940.9538,2950.0548,2965.3037,2930.195,2953.8242,-12.8704,-0.4357,350206602,298763953.1
"186","000001.SH",2019-02-27,2953.8242,2939.9287,2997.4882,2924.6432,2941.5163,12.3079,0.4184,474976453,411837618.7
"187","000001.SH",2019-02-26,2941.5163,2969.0976,2995.6762,2938.6227,2961.2834,-19.7671,-0.6675,565557967,492396545.2
"188","000001.SH",2019-02-25,2961.2834,2838.3896,2961.7951,2838.3896,2804.2262,157.0572,5.6007,528658590,465991432.6
"189","000001.SH",2019-02-22,2804.2262,2749.4615,2804.2262,2736.3324,2751.8012,52.425,1.9051,301481411,264518879.2
"190","000001.SH",2019-02-21,2751.8012,2759.9383,2794.0131,2744.9762,2761.2189,-9.4177,-0.3411,298649969,253033376.9
"191","000001.SH",2019-02-20,2761.2189,2761.0588,2767.4109,2739.9783,2755.6459,5.573,0.2022,245972527,205446929.3
